iter	Passed	Remaining
0	130	130076
1	412	205741
2	723	240534
3	911	226963
4	1117	222302
5	1336	221403
6	1622	230222
7	1857	230338
8	2080	229112
9	2289	226611
10	2482	223197
11	2651	218309
12	2815	213776
13	3014	212309
14	3172	208339
15	3344	205705
16	3509	202926
17	3705	202131
18	3859	199292
19	4013	196671
20	4161	194022
21	4370	194275
22	4502	191255
23	4627	188191
24	4763	185794
25	4902	183663
26	5066	182580
27	5238	181856
28	5403	180930
29	5611	181443
30	5765	180225
31	5899	178469
32	6032	176767
33	6190	175890
34	6368	175575
35	6554	175509
36	6698	174351
37	6844	173281
38	7071	174244
39	7305	175326
40	7453	174347
41	7588	173092
42	7731	172078
43	7883	171282
44	8070	171280
45	8284	171818
46	8481	171984
47	8630	171162
48	8780	170421
49	8940	169865
50	9085	169055
51	9222	168133
52	9349	167053
53	9499	166422
54	9632	165509
55	9775	164787
56	9903	163845
57	10052	163263
58	10194	162592
59	10365	162396
60	10541	162268
61	10738	162457
62	10928	162539
63	11086	162146
64	11331	162996
65	11558	163571
66	11760	163762
67	11944	163705
68	12141	163816
69	12315	163619
70	12453	162942
71	12586	162224
72	12713	161438
73	12835	160617
74	12972	159994
75	13105	159332
76	13232	158623
77	13367	158015
78	13486	157226
79	13646	156939
80	13846	157102
81	13987	156589
82	14112	155921
83	14273	155650
84	14397	154979
85	14526	154387
86	14648	153724
87	14765	153026
88	14896	152484
89	15063	152307
90	15184	151679
91	15330	151302
92	15444	150624
93	15598	150347
94	15709	149650
95	15826	149036
96	15946	148453
97	16091	148106
98	16200	147443
99	16323	146909
100	16459	146502
101	16588	146040
102	16707	145502
103	16825	144957
104	16950	144485
105	17073	143993
106	17207	143607
107	17332	143153
108	17481	142903
109	17625	142604
110	17752	142177
111	17875	141729
112	18017	141433
113	18153	141087
114	18305	140875
115	18420	140378
116	18548	139984
117	18691	139709
118	18821	139340
119	18957	139022
120	19083	138628
121	19217	138306
122	19378	138169
123	19509	137823
124	19647	137533
125	19781	137214
126	19905	136831
127	20038	136512
128	20179	136253
129	20309	135919
130	20438	135581
131	20575	135298
132	20710	135008
133	20830	134620
134	20951	134244
135	21100	134048
136	21217	133654
137	21354	133386
138	21491	133123
139	21642	132944
140	21772	132643
141	21891	132275
142	22036	132063
143	22169	131785
144	22307	131534
145	22479	131492
146	22605	131175
147	22735	130883
148	22861	130572
149	23002	130347
150	23132	130061
151	23265	129798
152	23395	129513
153	23536	129296
154	23661	128991
155	23798	128755
156	23928	128479
157	24077	128313
158	24193	127969
159	24315	127657
160	24441	127368
161	24569	127092
162	24674	126703
163	24811	126479
164	24990	126465
165	25125	126232
166	25250	125948
167	25387	125729
168	25537	125569
169	25666	125313
170	25773	124948
171	25918	124770
172	26058	124568
173	26192	124337
174	26321	124084
175	26446	123817
176	26557	123483
177	26677	123197
178	26797	122907
179	26933	122698
180	27070	122488
181	27247	122464
182	27366	122178
183	27493	121928
184	27609	121628
185	27732	121368
186	27852	121091
187	27991	120900
188	28118	120656
189	28256	120460
190	28408	120328
191	28555	120172
192	28682	119930
193	28812	119704
194	28950	119512
195	29102	119379
196	29227	119136
197	29362	118931
198	29496	118725
199	29617	118470
200	29755	118281
201	29880	118040
202	30039	117937
203	30203	117854
204	30343	117674
205	30472	117453
206	30603	117238
207	30756	117110
208	30888	116904
209	31015	116677
210	31148	116476
211	31276	116253
212	31397	116007
213	31554	115895
214	31684	115686
215	31816	115483
216	31978	115386
217	32121	115224
218	32253	115021
219	32362	114740
220	32499	114556
221	32627	114341
222	32764	114162
223	32886	113928
224	33024	113752
225	33179	113633
226	33321	113470
227	33447	113253
228	33558	112985
229	33674	112737
230	33824	112601
231	33944	112369
232	34070	112155
233	34209	111983
234	34334	111770
235	34462	111566
236	34619	111452
237	34747	111249
238	34902	111134
239	35033	110938
240	35143	110680
241	35284	110519
242	35394	110261
243	35517	110044
244	35647	109852
245	35791	109701
246	35908	109470
247	36049	109310
248	36205	109197
249	36353	109061
250	36481	108863
251	36608	108662
252	36731	108452
253	36880	108318
254	36999	108095
255	37125	107894
256	37297	107828
257	37440	107678
258	37574	107499
259	37718	107352
260	37902	107318
261	38051	107182
262	38234	107143
263	38415	107097
264	38573	106987
265	38774	106993
266	38914	106832
267	39060	106686
268	39208	106546
269	39341	106366
270	39488	106226
271	39664	106160
272	39862	106153
273	40042	106097
274	40228	106057
275	40395	105963
276	40541	105816
277	40693	105687
278	40810	105463
279	40939	105272
280	41071	105090
281	41206	104916
282	41333	104721
283	41487	104594
284	41638	104461
285	41809	104378
286	41947	104211
287	42109	104103
288	42275	104005
289	42431	103883
290	42565	103707
291	42704	103544
292	42838	103367
293	42988	103229
294	43117	103043
295	43290	102960
296	43415	102764
297	43551	102594
298	43674	102393
299	43815	102236
300	43951	102065
301	44093	101912
302	44360	102043
303	44516	101919
304	44652	101749
305	44765	101525
306	44893	101339
307	45026	101162
308	45158	100985
309	45281	100788
310	45401	100584
311	45517	100372
312	45661	100222
313	45808	100077
314	45953	99929
315	46099	99783
316	46227	99600
317	46365	99438
318	46515	99301
319	46644	99120
320	46764	98918
321	46891	98733
322	47010	98532
323	47166	98408
324	47311	98261
325	47445	98093
326	47661	98092
327	47911	98159
328	48119	98140
329	48291	98045
330	48517	98060
331	48702	97992
332	48906	97960
333	49072	97850
334	49258	97782
335	49440	97703
336	49619	97619
337	49765	97470
338	49909	97316
339	50033	97124
340	50164	96944
341	50293	96763
342	50428	96592
343	50556	96409
344	50695	96248
345	50829	96077
346	50972	95922
347	51106	95750
